date,AMZN,DPZ,BTC-USD,NFLX,RELIANCE.NS,INFY.NS,TCS.NS,HDFCBANK.NS
03/14/2022,141.85299682617188,370.88116455078125,39666.75390625,331.010009765625,1112.66845703125,1772.4970703125,3479.5654296875,1390.810546875
03/15/2022,147.3665008544922,374.4634094238281,39338.78515625,343.75,1087.1845703125,1724.3104248046875,3432.66796875,1372.9259033203125
03/16/2022,153.10400390625,389.4068908691406,41143.9296875,357.5299987792969,1105.53857421875,1771.2781982421875,3491.88671875,1396.209716796875
03/17/2022,157.23899841308594,393.2388916015625,40951.37890625,371.3999938964844,1141.5794677734375,1738.65380859375,3507.98046875,1426.9656982421875
03/21/2022,161.4915008544922,384.20166015625,41077.99609375,374.5899963378906,1135.00146484375,1737.20068359375,3463.996337890625,1433.1842041015625
03/22/2022,164.88900756835938,381.1092224121094,42358.80859375,382.9200134277344,1164.326416015625,1769.4031982421875,3534.9150390625,1440.5599365234375
03/23/2022,163.4080047607422,378.3337097167969,42892.95703125,374.489990234375,1168.029296875,1755.34130859375,3545.851806640625,1426.1942138671875
03/24/2022,163.64950561523438,377.623046875,43960.93359375,375.7099914550781,1186.17626953125,1768.7469482421875,3581.621337890625,1390.9071044921875
03/25/2022,164.77349853515625,379.1020202636719,44348.73046875,373.8500061035156,1194.08837890625,1759.231689453125,3541.12353515625,1379.5784912109375
03/28/2022,168.99049377441406,383.260498046875,47128.00390625,378.510009765625,1206.0943603515625,1756.747314453125,3541.36279296875,1381.410400390625
03/29/2022,169.31500244140625,395.68792724609375,47465.73046875,391.82000732421875,1206.3702392578125,1768.0908203125,3539.117919921875,1399.7288818359375
03/30/2022,166.30099487304688,390.1753234863281,47062.6640625,381.4700012207031,1229.5543212890625,1784.9185791015625,3564.142578125,1423.9766845703125
03/31/2022,162.99749755859375,390.88592529296875,45538.67578125,374.5899963378906,1211.9822998046875,1787.6373291015625,3572.166015625,1417.613525390625
04/01/2022,163.55999755859375,381.44537353515625,46281.64453125,373.4700012207031,1221.688232421875,1784.5438232421875,3590.122314453125,1451.98486328125
04/04/2022,168.34649658203125,387.7935485839844,46622.67578125,391.5,1225.29931640625,1765.2314453125,3601.20166015625,1597.3763427734375
04/05/2022,164.05499267578125,375.6734313964844,45555.9921875,380.1499938964844,1207.980224609375,1744.74755859375,3643.658203125,1550.5675048828125
04/06/2022,158.75599670410156,375.6063232421875,43206.73828125,368.3500061035156,1204.7603759765625,1714.5137939453125,3586.875,1495.2261962890625
04/07/2022,157.7845001220703,381.65667724609375,43503.84765625,362.1499938964844,1183.5084228515625,1697.7796630859375,3518.868896484375,1462.3492431640625
04/08/2022,154.4604949951172,379.15008544921875,42287.6640625,355.8800048828125,1203.1962890625,1701.154541015625,3520.301513671875,1460.3245849609375
04/11/2022,151.1219940185547,372.5522155761719,39521.90234375,348.0,1200.6893310546875,1656.108642578125,3530.5693359375,1442.4881591796875
04/12/2022,150.78750610351562,373.1764831542969,40127.18359375,344.1000061035156,1178.0804443359375,1633.51513671875,3525.507080078125,1439.9332275390625
04/13/2022,155.54100036621094,376.624267578125,41166.73046875,350.42999267578125,1173.75634765625,1639.2340087890625,3497.6650390625,1412.4072265625
04/18/2022,152.78500366210938,364.4561767578125,40826.21484375,337.8599853515625,1170.1683349609375,1520.0330810546875,3369.77197265625,1345.39990234375
04/19/2022,158.11549377441406,378.4681701660156,41502.75,348.6099853515625,1214.7652587890625,1464.3466796875,3316.140625,1294.059814453125
04/20/2022,153.9980010986328,380.78265380859375,41374.37890625,226.19000244140625,1250.484130859375,1488.43994140625,3397.232177734375,1305.725830078125
04/21/2022,148.29600524902344,375.51025390625,40527.36328125,218.22000122070312,1279.76318359375,1517.5958251953125,3465.858642578125,1325.0567626953125
04/22/2022,144.35000610351562,363.8222961425781,39740.3203125,215.52000427246094,1269.045166015625,1486.33056640625,3450.481201171875,1306.9791259765625
04/25/2022,146.07400512695312,363.1788635253906,40458.30859375,209.91000366210938,1239.697265625,1463.5028076171875,3389.018310546875,1316.76513671875
04/26/2022,139.39100646972656,355.0828552246094,38117.4609375,198.39999389648438,1276.796142578125,1482.15869140625,3387.203125,1322.8392333984375
04/27/2022,138.16700744628906,358.1368103027344,39241.12109375,188.5399932861328,1278.0382080078125,1455.721923828125,3401.43505859375,1323.3212890625
04/28/2022,144.59649658203125,339.86077880859375,39773.828125,199.52000427246094,1297.128173828125,1483.65869140625,3423.498779296875,1322.164306640625
04/29/2022,124.28150177001953,324.6098327636719,38609.82421875,190.36000061035156,1283.51220703125,1469.5498046875,3387.585693359375,1334.939208984375
05/02/2022,124.5,337.2100830078125,38529.328125,199.4600067138672,1279.004150390625,1444.65966796875,3383.47802734375,1353.3541259765625
05/04/2022,125.92849731445312,339.20770263671875,39698.37109375,204.00999450683594,1239.076171875,1439.5504150390625,3323.63916015625,1307.3648681640625
05/05/2022,116.40699768066406,328.1536865234375,36575.140625,188.32000732421875,1214.811279296875,1486.0494384765625,3355.779052734375,1304.4241943359375
05/06/2022,114.77249908447266,328.24969482421875,36040.921875,180.97000122070312,1205.496337890625,1446.3939208984375,3278.604248046875,1270.342041015625
05/09/2022,108.78900146484375,320.3841247558594,30296.953125,173.10000610351562,1158.4154052734375,1472.1746826171875,3290.543701171875,1272.5113525390625
05/10/2022,108.85900115966797,322.42010498046875,31022.90625,177.66000366210938,1138.33642578125,1455.909423828125,3284.47802734375,1292.951171875
05/11/2022,105.37200164794922,312.249755859375,28936.35546875,166.3699951171875,1126.675537109375,1431.3004150390625,3258.9287109375,1300.230224609375
05/12/2022,106.93049621582031,314.8619384765625,29047.751953125,174.30999755859375,1103.7215576171875,1414.47265625,3255.728271484375,1270.9212646484375
05/13/2022,113.05500030517578,327.43341064453125,29283.103515625,187.63999938964844,1116.2335205078125,1410.347900390625,3261.6982421875,1259.5096435546875
05/16/2022,110.81050109863281,323.1213073730469,29862.91796875,186.50999450683594,1116.509521484375,1396.00439453125,3225.307373046875,1272.9205322265625
05/17/2022,115.36849975585938,323.130859375,30425.857421875,190.55999755859375,1163.4063720703125,1423.5194091796875,3296.751953125,1281.6011962890625
05/18/2022,107.11250305175781,315.02520751953125,28720.271484375,177.19000244140625,1167.638427734375,1414.84765625,3294.077392578125,1281.503662109375
05/19/2022,107.31900024414062,323.10205078125,30314.333984375,183.47999572753906,1140.7283935546875,1337.92724609375,3115.610107421875,1255.3157958984375
05/20/2022,107.59100341796875,328.1536865234375,29200.740234375,186.35000610351562,1207.2442626953125,1364.1767578125,3145.26708984375,1288.3797607421875
05/23/2022,107.55699920654297,329.4213562011719,29098.91015625,187.44000244140625,1199.17138671875,1376.598388671875,3172.72705078125,1271.8477783203125
05/24/2022,104.0999984741211,328.6146545410156,29655.5859375,180.33999633789062,1203.288330078125,1350.9114990234375,3140.4912109375,1286.4290771484375
05/25/2022,106.7750015258789,338.6026306152344,29562.361328125,187.8300018310547,1201.517333984375,1322.2713623046875,3045.92041015625,1296.0362548828125
05/26/2022,111.07749938964844,341.5221862792969,29267.224609375,191.39999389648438,1190.0633544921875,1334.9273681640625,3102.94189453125,1333.001708984375
05/27/2022,115.14649963378906,351.4141540527344,28627.57421875,195.19000244140625,1184.5433349609375,1369.9891357421875,3135.971923828125,1357.726806640625
